t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
109,0.020000,0.463872,0.450056,0.175803,0.175803,123
110,0.000000,0.468482,0.450051,0.167012,0.167012,108
111,0.010000,0.466968,0.450066,0.168662,0.168662,114
112,0.000000,0.471679,0.450061,0.160229,0.160229,99
113,0.010000,0.478726,0.450063,0.162217,0.162217,109
114,0.010000,0.481928,0.450077,0.164106,0.164106,118
115,0.020000,0.482352,0.450108,0.175901,0.175901,149
116,0.010000,0.490364,0.450119,0.177106,0.177106,159
117,0.040000,0.474536,0.450163,0.208251,0.208251,228
118,0.000000,0.480737,0.450159,0.197838,0.197838,213
119,0.030000,0.458779,0.450199,0.217946,0.217946,258
120,0.000000,0.460079,0.450196,0.207049,0.207049,240
121,0.010000,0.449289,0.450206,0.206697,0.206697,242
122,0.000000,0.449239,0.450203,0.196362,0.196362,223
123,0.010000,0.443802,0.450212,0.196544,0.196544,225
124,0.000000,0.445607,0.450210,0.186716,0.186716,206
125,0.000000,0.447030,0.450207,0.177381,0.177381,187
126,0.000000,0.449750,0.450205,0.168512,0.168512,169
127,0.000000,0.454308,0.450203,0.160086,0.160086,152
128,0.000000,0.457937,0.450201,0.152082,0.152082,135
129,0.000000,0.460825,0.450199,0.144478,0.144478,118
130,0.000000,0.468719,0.450197,0.137254,0.137254,103
131,0.010000,0.469260,0.450196,0.140391,0.140391,108
132,0.000000,0.473838,0.450194,0.133372,0.133372,93
133,0.020000,0.457035,0.450209,0.146703,0.146703,118
134,0.000000,0.461633,0.450207,0.139368,0.139368,102
135,0.000000,0.467699,0.450206,0.132399,0.132399,87
136,0.000000,0.475741,0.450205,0.125779,0.125779,74
137,0.010000,0.477479,0.450205,0.129490,0.129490,82
138,0.010000,0.484459,0.450216,0.133016,0.133016,93
139,0.010000,0.484007,0.450241,0.136365,0.136365,103
140,0.010000,0.492865,0.450255,0.139547,0.139547,115
141,0.000000,0.504629,0.450254,0.132570,0.132570,106
142,0.040000,0.490339,0.450285,0.165941,0.165941,178
143,0.010000,0.489938,0.450297,0.167644,0.167644,186
144,0.040000,0.463013,0.450344,0.199262,0.199262,254
145,0.010000,0.459179,0.450359,0.199299,0.199299,258
146,0.000000,0.461647,0.450358,0.189334,0.189334,241
147,0.010000,0.451811,0.450367,0.189867,0.189867,244
148,0.000000,0.452541,0.450366,0.180374,0.180374,226
149,0.010000,0.445473,0.450396,0.181355,0.181355,228
150,0.000000,0.445861,0.450395,0.172287,0.172287,209
151,0.000000,0.446168,0.450394,0.163673,0.163673,190
152,0.000000,0.449608,0.450394,0.155489,0.155489,172
153,0.010000,0.446597,0.450394,0.157715,0.157715,174
154,0.000000,0.451544,0.450393,0.149829,0.149829,157
155,0.000000,0.455498,0.450393,0.142338,0.142338,140
156,0.000000,0.458657,0.450392,0.135221,0.135221,123
157,0.000000,0.461181,0.450392,0.128460,0.128460,106
158,0.000000,0.465598,0.450392,0.122037,0.122037,90
159,0.010000,0.463753,0.450398,0.125935,0.125935,95
160,0.010000,0.461365,0.450398,0.129638,0.129638,100
161,0.010000,0.461851,0.450398,0.133156,0.133156,105
162,0.010000,0.459838,0.450414,0.136498,0.136498,109
163,0.000000,0.470909,0.450413,0.129673,0.129673,96
164,0.020000,0.463310,0.450436,0.143190,0.143190,124
165,0.000000,0.480082,0.450435,0.136030,0.136030,114
166,0.000000,0.495098,0.450435,0.129229,0.129229,105
167,0.040000,0.480216,0.450467,0.162767,0.162767,176
168,0.000000,0.490401,0.450467,0.154629,0.154629,164
169,0.040000,0.460943,0.450511,0.186898,0.186898,232
170,0.000000,0.466179,0.450510,0.177553,0.177553,217
171,0.000000,0.470366,0.450510,0.168675,0.168675,202
172,0.000000,0.473715,0.450510,0.160241,0.160241,187
173,0.010000,0.464586,0.450518,0.162229,0.162229,192
174,0.000000,0.469088,0.450518,0.154118,0.154118,177
175,0.020000,0.459787,0.450538,0.166412,0.166412,202
176,0.000000,0.460445,0.450538,0.158091,0.158091,185
177,0.010000,0.453411,0.450546,0.160187,0.160187,188
178,0.000000,0.453743,0.450546,0.152177,0.152177,170
179,0.000000,0.454007,0.450546,0.144569,0.144569,152
180,0.000000,0.455817,0.450546,0.137340,0.137340,135
181,0.010000,0.451809,0.450552,0.140473,0.140473,139
182,0.000000,0.457257,0.450552,0.133449,0.133449,123
183,0.010000,0.456366,0.450573,0.136777,0.136777,128
184,0.000000,0.461701,0.450573,0.129938,0.129938,112
185,0.010000,0.463683,0.450573,0.133441,0.133441,118
186,0.010000,0.462868,0.450596,0.136769,0.136769,123
187,0.010000,0.457417,0.450596,0.139931,0.139931,127
188,0.010000,0.461054,0.450610,0.142934,0.142934,134
189,0.000000,0.468648,0.450610,0.135787,0.135787,120
190,0.000000,0.485122,0.450610,0.128998,0.128998,110
191,0.000000,0.498301,0.450610,0.122548,0.122548,100
