t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
474,0.030000,0.462852,0.452468,0.170360,0.170360,207
475,0.010000,0.458133,0.452479,0.171842,0.171842,211
476,0.010000,0.454413,0.452493,0.173249,0.173249,215
477,0.000000,0.456123,0.452493,0.164587,0.164587,198
478,0.000000,0.459890,0.452493,0.156358,0.156358,182
479,0.000000,0.462905,0.452493,0.148540,0.148540,166
480,0.000000,0.468516,0.452493,0.141113,0.141113,151
481,0.000000,0.473005,0.452493,0.134057,0.134057,136
482,0.000000,0.479796,0.452493,0.127354,0.127354,122
483,0.020000,0.471694,0.452500,0.140987,0.140987,148
484,0.010000,0.464464,0.452500,0.143937,0.143937,152
485,0.020000,0.446102,0.452516,0.156740,0.156740,175
486,0.000000,0.446274,0.452516,0.148903,0.148903,156
487,0.000000,0.446411,0.452516,0.141458,0.141458,137
488,0.000000,0.454521,0.452516,0.134385,0.134385,122
489,0.010000,0.453361,0.452534,0.137666,0.137666,127
490,0.000000,0.468881,0.452534,0.130783,0.130783,115
491,0.000000,0.481297,0.452534,0.124244,0.124244,103
492,0.040000,0.464337,0.452553,0.158031,0.158031,171
493,0.000000,0.469662,0.452553,0.150130,0.150130,155
494,0.030000,0.449429,0.452583,0.172623,0.172623,200
495,0.000000,0.458535,0.452583,0.163992,0.163992,185
496,0.000000,0.467420,0.452583,0.155793,0.155793,171
497,0.010000,0.469844,0.452583,0.158003,0.158003,178
498,0.010000,0.469382,0.452594,0.160103,0.160103,184
499,0.010000,0.462986,0.452620,0.162098,0.162098,189
500,0.010000,0.459097,0.452634,0.163993,0.163993,193
